availability_day,availability_slots
1111,"09:30,11:30,12:00,10:00"
1100,"10:30,10:00,12:00"
0101,"09:30,08:30,13:30,08:00"
1101,"12:30,08:00,11:00"
0101,"10:30,11:30"
1101,"08:00,13:00"
1010,"10:00,12:00,09:30,13:30"
1010,"10:30,11:30,08:00"
1010,"13:30,09:30"
1101,"13:30,09:00"
1101,"12:00,08:30"
1111,"12:30,11:00,12:00,09:00"
1111,"12:30,09:00"
1111,"12:00,08:00,10:30,11:00"
1111,"08:30,13:00"
0101,"10:30,10:00,13:30"
1111,"13:00,09:30,13:30,09:00"
1101,"10:00,13:00,10:30"
1111,"09:00,12:30,08:30"
1010,"08:00,10:30,09:30,12:00"
0011,"09:00,12:30,13:30"
0101,"12:30,13:00,10:30"
1111,"09:30,12:00"
1111,"13:30,09:30,13:00"
0111,"11:30,10:30,13:30,12:30"
1011,"11:00,12:30,13:30,08:30"
1111,"11:30,09:30,13:00,10:30"
1111,"09:00,11:00,13:00"
1111,"10:00,08:30,12:00"
0101,"12:00,11:30"
1111,"11:30,12:30,09:00"
1001,"13:30,09:30"
1010,"13:30,13:00,08:00,09:00"
0111,"13:00,08:00"
1100,"10:00,12:30,09:30,13:30"
0101,"12:00,10:00,12:30,08:00"
0101,"13:30,11:00"
1101,"10:00,10:30,13:30,13:00"
0101,"08:00,10:30,12:00"
1101,"13:30,10:00,08:30"
0011,"11:00,12:30,09:30,13:30"
0111,"09:00,08:30,12:30,10:00"
1110,"12:30,09:00"
1111,"10:00,12:30"
1110,"10:00,08:00,12:00,09:00"
1010,"08:00,09:30,13:00,11:30"
0110,"11:30,13:30"
1111,"09:00,11:30,12:00,09:30"
1110,"09:00,08:00,13:30,11:00"
1101,"12:00,10:30,09:30"
1110,"11:30,08:30,09:00"
1111,"11:00,11:30,10:30"
1100,"08:30,11:00,11:30,13:30"
1110,"13:00,08:30"
1011,"08:30,13:00,11:30,12:00"
0101,"11:00,13:30,13:00"
1100,"08:00,09:00,13:30,11:30"
1111,"12:00,13:00"
1111,"11:00,10:30,10:00"
1111,"09:00,13:30"
0110,"08:00,11:30,09:00,13:30"
1011,"09:30,08:30,11:00,13:30"
1101,"10:30,11:00,10:00,08:30"
1111,"12:30,11:00,13:00"
0110,"12:30,11:30"
1111,"08:00,11:30,13:00,08:30"
0111,"13:30,12:00,12:30"
1101,"09:00,12:00,10:30"
0111,"13:30,09:00,11:30,08:30"
1110,"12:00,10:30"
1111,"12:00,10:30,11:30,13:30"
1111,"13:30,09:30"
1111,"11:30,10:00,08:30,13:00"
1110,"13:00,12:30,08:30"
1111,"12:00,12:30,11:00"
1011,"10:00,12:30,13:00"
1100,"10:00,13:00,08:30,10:30"
1111,"10:30,09:00,08:30"
1110,"11:00,11:30"
0111,"12:30,10:00,13:00,11:00"
1111,"12:00,12:30,11:00"
1011,"08:00,13:00,12:30,10:30"
1110,"08:30,11:30,09:00"
0011,"12:00,09:00"
1110,"08:00,09:30,12:30,13:30"
1010,"10:30,12:30,08:30"
1111,"09:00,13:00,08:30,10:30"
1101,"08:00,09:30,13:30,08:30"
1101,"09:30,09:00,08:30"
0110,"08:30,12:00"
1011,"12:30,13:00,08:00"
0110,"09:00,10:30"
1111,"08:30,13:30,13:00,12:00"
0110,"13:30,08:30"
1101,"10:30,10:00,11:30,08:00"
1110,"09:30,10:00,11:00,09:00"
1110,"08:00,13:00"
0101,"10:00,12:00,09:00"
0111,"10:30,12:00,11:00"
1111,"08:00,13:00,08:30"
1111,"10:30,12:30"
0110,"13:30,11:30,08:30,13:00"
0110,"13:00,11:00"
1111,"10:00,09:00"
0011,"13:00,12:30,08:00,12:00"
1110,"08:00,09:00,09:30"
0110,"08:00,13:00,11:00,12:00"
1011,"11:30,12:00,12:30,11:00"
1111,"11:30,10:00,10:30"
1111,"08:30,13:30"
1110,"09:30,13:30"
0101,"10:30,13:00,08:30"
1010,"10:00,12:00,10:30"
0101,"13:30,08:00"
0111,"11:00,10:30"
1111,"09:00,08:00,12:30,10:30"
